"US","date"
3.5,"2020-01-01"
3.5,"2020-02-01"
4.4,"2020-03-01"
14.8,"2020-04-01"
13.3,"2020-05-01"
11.1,"2020-06-01"
10.2,"2020-07-01"
8.4,"2020-08-01"
7.8,"2020-09-01"
6.9,"2020-10-01"
6.7,"2020-11-01"
6.7,"2020-12-01"
